var,value,n,prop,mean,SD,median,MIN,Q1,Q3,MAX,KSTest_pvalue,SWTest_pvalue
Sex,F,5,0.416666666666667,,,,,,,,,
Sex,M,7,0.583333333333333,,,,,,,,,
Age (year),Missing,0,0,,,,,,,,,
Age (year),"",,,70.8333333333333,8.64274086716533,70,53,68.25,75.25,85,3.33066907387547e-16,0.776234351703552
K-MMSE total score,Missing,1,0.0833333333333333,,,,,,,,,
K-MMSE total score,"",,,25.0909090909091,4.39214174303484,27,16,22.5,28.5,30,0,0.160412958912743
UPDRS Part I,Missing,1,0.0833333333333333,,,,,,,,,
UPDRS Part I,"",,,5,3.19374388453426,5,0,3,7,10,5.88074594576327e-08,0.895895877285583
UPDRS Part II,Missing,1,0.0833333333333333,,,,,,,,,
UPDRS Part II,"",,,11.4545454545455,6.28273246865783,12,3,6.5,14.5,22,0,0.533337663788431
UPDRS Part III,Missing,1,0.0833333333333333,,,,,,,,,
UPDRS Part III,"",,,21.8181818181818,6.11258017236882,20,15,17,25.5,32,0,0.0489683089822622
UPDRS Part IV,Missing,1,0.0833333333333333,,,,,,,,,
UPDRS Part IV,"",,,1.09090909090909,2.02259958738973,0,0,0,1,6,0.00456517859544192,5.17899884692017e-05
Modified H Y,Missing,1,0.0833333333333333,,,,,,,,,
Modified H Y,"",,,2.31818181818182,0.404519917477945,2,2,2,2.5,3,0,0.00237137051573003
SEADL Score,Missing,1,0.0833333333333333,,,,,,,,,
SEADL Score,"",,,81.8181818181818,12.5045446283996,80,60,75,90,100,0,0.49823616038893
