Model,Threshold,Sensitivity,Specificity,PositivePredictiveValue,NegativePredictiveValue
Group ~ 1,-Inf,1,0,0.444444444444444,
Group ~ 1,Inf,0,1,,0.555555555555556
Group ~ Prot68,-Inf,1,0,0.444444444444444,
Group ~ Prot68,0.0897671679413374,1,0.0666666666666667,0.461538461538462,1
Group ~ Prot68,0.130299162461197,1,0.133333333333333,0.48,1
Group ~ Prot68,0.142660752147968,1,0.2,0.5,1
Group ~ Prot68,0.166399763582386,1,0.266666666666667,0.521739130434783,1
Group ~ Prot68,0.180484011578718,1,0.333333333333333,0.545454545454545,1
Group ~ Prot68,0.18699711671858,0.916666666666667,0.333333333333333,0.523809523809524,0.833333333333333
Group ~ Prot68,0.194806963297767,0.916666666666667,0.4,0.55,0.857142857142857
Group ~ Prot68,0.234208757849268,0.916666666666667,0.466666666666667,0.578947368421053,0.875
Group ~ Prot68,0.29885793528348,0.916666666666667,0.533333333333333,0.611111111111111,0.888888888888889
Group ~ Prot68,0.338979214558326,0.916666666666667,0.6,0.647058823529412,0.9
Group ~ Prot68,0.357533004887927,0.916666666666667,0.666666666666667,0.6875,0.909090909090909
Group ~ Prot68,0.381407188258006,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333
Group ~ Prot68,0.398718520564297,0.833333333333333,0.733333333333333,0.714285714285714,0.846153846153846
Group ~ Prot68,0.406302936561759,0.75,0.733333333333333,0.692307692307692,0.785714285714286
Group ~ Prot68,0.451041611338011,0.666666666666667,0.733333333333333,0.666666666666667,0.733333333333333
Group ~ Prot68,0.490912727028822,0.583333333333333,0.733333333333333,0.636363636363636,0.6875
Group ~ Prot68,0.532933189790933,0.583333333333333,0.8,0.7,0.705882352941177
Group ~ Prot68,0.59530385837279,0.5,0.8,0.666666666666667,0.666666666666667
Group ~ Prot68,0.619695468244996,0.5,0.866666666666667,0.75,0.68421052631579
Group ~ Prot68,0.664291570760369,0.416666666666667,0.866666666666667,0.714285714285714,0.65
Group ~ Prot68,0.708877306463554,0.333333333333333,0.866666666666667,0.666666666666667,0.619047619047619
Group ~ Prot68,0.734361231223226,0.25,0.866666666666667,0.6,0.590909090909091
Group ~ Prot68,0.770973784833128,0.25,0.933333333333333,0.75,0.608695652173913
Group ~ Prot68,0.783889159562216,0.166666666666667,0.933333333333333,0.666666666666667,0.583333333333333
Group ~ Prot68,0.813218279377492,0.166666666666667,1,1,0.6
Group ~ Prot68,0.861475455231467,0.0833333333333333,1,1,0.576923076923077
Group ~ Prot68,Inf,0,1,,0.555555555555556
Group ~ Prot48,-Inf,1,0,0.444444444444444,
Group ~ Prot48,0.148688681397264,1,0.0666666666666667,0.461538461538462,1
Group ~ Prot48,0.164233055292752,1,0.133333333333333,0.48,1
Group ~ Prot48,0.180995385376682,0.916666666666667,0.133333333333333,0.458333333333333,0.666666666666667
Group ~ Prot48,0.198725232454306,0.916666666666667,0.2,0.478260869565217,0.75
Group ~ Prot48,0.21411454101254,0.916666666666667,0.266666666666667,0.5,0.8
Group ~ Prot48,0.223818665748798,0.916666666666667,0.333333333333333,0.523809523809524,0.833333333333333
Group ~ Prot48,0.22619180553721,0.916666666666667,0.4,0.55,0.857142857142857
Group ~ Prot48,0.234821197407741,0.833333333333333,0.4,0.526315789473684,0.75
Group ~ Prot48,0.264306644892633,0.833333333333333,0.466666666666667,0.555555555555556,0.777777777777778
Group ~ Prot48,0.304870911540767,0.833333333333333,0.533333333333333,0.588235294117647,0.8
Group ~ Prot48,0.34757205844884,0.75,0.533333333333333,0.5625,0.727272727272727
Group ~ Prot48,0.380198193954192,0.75,0.6,0.6,0.75
Group ~ Prot48,0.391233611892268,0.75,0.666666666666667,0.642857142857143,0.769230769230769
Group ~ Prot48,0.40901368699406,0.666666666666667,0.666666666666667,0.615384615384615,0.714285714285714
