var,value,n,prop,mean,SD,median,MIN,Q1,Q3,MAX,KSTest_pvalue,SWTest_pvalue
Sex,F,27,0.818181818181818,,,,,,,,,
Sex,M,6,0.181818181818182,,,,,,,,,
Age (year),Missing,0,0,,,,,,,,,
Age (year),"",,,72.4545454545455,4.85470718150764,73,59,72,75,84,6.66133814775094e-16,0.00356484105886944
Age at symptom on set (years),Missing,33,1,,,,,,,,,
Age at symptom on set (years),"",,,,,,Inf,,,-Inf,,
Disease duration (years),Missing,0,0,,,,,,,,,
Disease duration (years),"",,,0,0,0,0,0,0,0,3.73974113898612e-08,
K-MMSE total score,Missing,0,0,,,,,,,,,
K-MMSE total score,"",,,28.4848484848485,1.34910183365666,29,24,28,29,30,6.66133814775094e-16,0.00079506647856083
CDR,Missing,0,0,,,,,,,,,
CDR,"",,,0.272727272727273,0.252824948423716,0.5,0,0,0.5,0.5,3.73974113898612e-08,7.69929965615992e-08
UPDRS Part I,Missing,33,1,,,,,,,,,
UPDRS Part I,"",,,,,,Inf,,,-Inf,,
UPDRS Part II,Missing,33,1,,,,,,,,,
UPDRS Part II,"",,,,,,Inf,,,-Inf,,
UPDRS Part III,Missing,33,1,,,,,,,,,
UPDRS Part III,"",,,,,,Inf,,,-Inf,,
UPDRS Part IV,Missing,33,1,,,,,,,,,
UPDRS Part IV,"",,,,,,Inf,,,-Inf,,
Modified H Y,Missing,33,1,,,,,,,,,
Modified H Y,"",,,,,,Inf,,,-Inf,,
SEADL Score,Missing,33,1,,,,,,,,,
SEADL Score,"",,,,,,Inf,,,-Inf,,
NfL,Missing,0,0,,,,,,,,,
NfL,"",,,18.7618152089972,10.4474441021934,15.9,7.1486780564469,11.5,23.2,54.7,6.66133814775094e-16,0.000130137552316077
pTau181,Missing,1,0.0303030303030303,,,,,,,,,
pTau181,"",,,4.70426518363675,6.64845553801211,2.25992068746853,0.496,1.7125,3.86725159241993,27.3247957616278,0,9.18757042743144e-09
Aβ40,Missing,0,0,,,,,,,,,
Aβ40,"",,,180.349867637102,88.0498134053033,206,2.98,129.872949782843,245.845283882366,307,6.66133814775094e-16,0.0961633393239309
Aβ42,Missing,1,0.0303030303030303,,,,,,,,,
Aβ42,"",,,9.74625306242671,5.26492763317919,9.37663672503623,1.13,5.47271962170934,12.675,24.3,0,0.457445114988267
Aβ42/Aβ40,Missing,1,0.0303030303030303,,,,,,,,,
Aβ42/Aβ40,"",,,0.0552500376166422,0.0192635688600293,0.05118737621345,0.0144439100643266,0.0420625,0.0638854544586889,0.109708737864078,4.16373275857751e-08,0.109743012423145
