var,value,n,prop,mean,SD,median,MIN,Q1,Q3,MAX,KSTest_pvalue,SWTest_pvalue
Sex,F,18,0.391304347826087,,,,,,,,,
Sex,M,28,0.608695652173913,,,,,,,,,
Age (year),Missing,0,0,,,,,,,,,
Age (year),"",,,72.5869565217391,8.19369971233053,72.5,53,69,78.75,86,0,0.0386767816417317
Age at symptom on set (years),Missing,0,0,,,,,,,,,
Age at symptom on set (years),"",,,64.6086956521739,9.02460405008827,66,47,56.25,70,85,0,0.49732554002456
Disease duration (years),Missing,0,0,,,,,,,,,
Disease duration (years),"",,,7.97826086956522,4.13381250144482,8,1,6,10,16,0,0.0762585481276811
K-MMSE total score,Missing,0,0,,,,,,,,,
K-MMSE total score,"",,,23.695652173913,5.29934824175951,24.5,3,21,28,30,0,0.000403315943535574
CDR,Missing,0,0,,,,,,,,,
CDR,"",,,0.478260869565217,0.315463006091935,0.5,0,0.5,0.5,1,3.69382302523036e-11,7.28948565397633e-07
UPDRS Part I,Missing,0,0,,,,,,,,,
UPDRS Part I,"",,,4.52173913043478,2.86541934441081,5,0,2,6.75,10,0,0.0309204729076691
UPDRS Part II,Missing,0,0,,,,,,,,,
UPDRS Part II,"",,,12.2391304347826,6.65393712226477,11,2,7.25,16,33,0,0.0571160208415681
UPDRS Part III,Missing,0,0,,,,,,,,,
UPDRS Part III,"",,,24.804347826087,9.29185919732941,23,11,18,31,57,0,0.00203701916949334
UPDRS Part IV,Missing,0,0,,,,,,,,,
UPDRS Part IV,"",,,1.06521739130435,1.86669254640445,0,0,0,1,7,3.69382302523036e-11,1.29580660150855e-09
Modified H Y,Missing,0,0,,,,,,,,,
Modified H Y,"",,,2.47826086956522,0.567220530688711,2.5,2,2,3,4,0,7.0800160056334e-07
SEADL Score,Missing,0,0,,,,,,,,,
SEADL Score,"",,,79.3478260869565,14.8177332069148,80,40,70,90,100,0,0.00824539724411429
NfL,Missing,0,0,,,,,,,,,
NfL,"",,,36.6878486471585,38.0213014607842,26.8421697758497,4.7483228787533,19.117377577895,38.80321230209,247,0,1.05280932482062e-10
pTau181,Missing,0,0,,,,,,,,,
pTau181,"",,,7.33575869642562,12.2385179442808,3.075,0.95,2.0925,6.1425,62.4641929002587,0,3.48077167214276e-11
Aβ40,Missing,0,0,,,,,,,,,
Aβ40,"",,,205.893444751308,101.154135294811,216.485024187624,13.5913760800947,138.792726845739,256,538,0,0.117790843328892
Aβ42,Missing,0,0,,,,,,,,,
Aβ42,"",,,9.4459074357301,4.51554479639817,9.545,0.652329382934713,6.78150618451933,11.9,23.7,0,0.26479057542082
Aβ42/Aβ40,Missing,0,0,,,,,,,,,
Aβ42/Aβ40,"",,,0.0509956021584005,0.0231603822759141,0.0464564732142857,0.0187732342007435,0.0385021878242246,0.0608604781068158,0.172429906542056,1.66812119672954e-11,3.51234944049669e-08
