Model,Threshold,Sensitivity,Specificity,PositivePredictiveValue,NegativePredictiveValue
Group ~ 1,-Inf,1,0,0.582278481012658,
Group ~ 1,Inf,0,1,,0.417721518987342
Group ~ NTF3,-Inf,1,0,0.582278481012658,
Group ~ NTF3,0.253862395691446,0.978260869565217,0,0.576923076923077,0
Group ~ NTF3,0.324035251458921,0.978260869565217,0.0303030303030303,0.584415584415584,0.5
Group ~ NTF3,0.351954070514543,0.978260869565217,0.0606060606060606,0.592105263157895,0.666666666666667
Group ~ NTF3,0.3914521141196,0.978260869565217,0.0909090909090909,0.6,0.75
Group ~ NTF3,0.413718472147537,0.956521739130435,0.0909090909090909,0.594594594594595,0.6
Group ~ NTF3,0.424213809248083,0.956521739130435,0.121212121212121,0.602739726027397,0.666666666666667
Group ~ NTF3,0.428345903890227,0.956521739130435,0.151515151515152,0.611111111111111,0.714285714285714
Group ~ NTF3,0.43871714050008,0.934782608695652,0.151515151515152,0.605633802816901,0.625
Group ~ NTF3,0.446166172636287,0.91304347826087,0.151515151515152,0.6,0.555555555555556
Group ~ NTF3,0.450894453703079,0.91304347826087,0.181818181818182,0.608695652173913,0.6
Group ~ NTF3,0.468491794505528,0.91304347826087,0.212121212121212,0.617647058823529,0.636363636363636
Group ~ NTF3,0.482055920825073,0.891304347826087,0.212121212121212,0.611940298507463,0.583333333333333
Group ~ NTF3,0.486250189026355,0.891304347826087,0.242424242424242,0.621212121212121,0.615384615384615
Group ~ NTF3,0.493830025027452,0.891304347826087,0.272727272727273,0.630769230769231,0.642857142857143
Group ~ NTF3,0.499108876111583,0.869565217391304,0.272727272727273,0.625,0.6
Group ~ NTF3,0.501236080234465,0.869565217391304,0.303030303030303,0.634920634920635,0.625
Group ~ NTF3,0.501564969335075,0.869565217391304,0.333333333333333,0.645161290322581,0.647058823529412
Group ~ NTF3,0.502782591299577,0.869565217391304,0.363636363636364,0.655737704918033,0.666666666666667
Group ~ NTF3,0.50497584682833,0.869565217391304,0.393939393939394,0.666666666666667,0.68421052631579
Group ~ NTF3,0.508118478770731,0.847826086956522,0.393939393939394,0.661016949152542,0.65
Group ~ NTF3,0.510447695090392,0.826086956521739,0.393939393939394,0.655172413793103,0.619047619047619
Group ~ NTF3,0.513315608480785,0.826086956521739,0.424242424242424,0.666666666666667,0.636363636363636
Group ~ NTF3,0.52425799363269,0.804347826086957,0.424242424242424,0.660714285714286,0.608695652173913
Group ~ NTF3,0.532896453367103,0.804347826086957,0.454545454545455,0.672727272727273,0.625
Group ~ NTF3,0.534668266322881,0.782608695652174,0.454545454545455,0.666666666666667,0.6
Group ~ NTF3,0.536471504842469,0.760869565217391,0.454545454545455,0.660377358490566,0.576923076923077
Group ~ NTF3,0.537589353149529,0.739130434782609,0.454545454545455,0.653846153846154,0.555555555555556
Group ~ NTF3,0.540579915711817,0.717391304347826,0.454545454545455,0.647058823529412,0.535714285714286
Group ~ NTF3,0.54361943890418,0.695652173913044,0.454545454545455,0.64,0.517241379310345
Group ~ NTF3,0.545965310239644,0.695652173913044,0.484848484848485,0.653061224489796,0.533333333333333
Group ~ NTF3,0.552277948780913,0.673913043478261,0.484848484848485,0.645833333333333,0.516129032258065
Group ~ NTF3,0.560316623936269,0.652173913043478,0.484848484848485,0.638297872340426,0.5
Group ~ NTF3,0.564058394069784,0.652173913043478,0.515151515151515,0.652173913043478,0.515151515151515
Group ~ NTF3,0.566243036671596,0.630434782608696,0.515151515151515,0.644444444444445,0.5
Group ~ NTF3,0.569326792246668,0.630434782608696,0.545454545454545,0.659090909090909,0.514285714285714
Group ~ NTF3,0.57224346747292,0.608695652173913,0.545454545454545,0.651162790697675,0.5
Group ~ NTF3,0.574422162818313,0.608695652173913,0.575757575757576,0.666666666666667,0.513513513513514
Group ~ NTF3,0.576243794813065,0.608695652173913,0.606060606060606,0.682926829268293,0.526315789473684
Group ~ NTF3,0.578127679487819,0.608695652173913,0.636363636363636,0.7,0.538461538461538
Group ~ NTF3,0.578877174782823,0.586956521739131,0.636363636363636,0.692307692307692,0.525
Group ~ NTF3,0.580261792157734,0.586956521739131,0.666666666666667,0.710526315789474,0.536585365853659
Group ~ NTF3,0.581754008715276,0.565217391304348,0.666666666666667,0.702702702702703,0.523809523809524
Group ~ NTF3,0.583525835718691,0.543478260869565,0.666666666666667,0.694444444444445,0.511627906976744
Group ~ NTF3,0.592834752103738,0.543478260869565,0.696969696969697,0.714285714285714,0.522727272727273
Group ~ NTF3,0.601739654422182,0.543478260869565,0.727272727272727,0.735294117647059,0.533333333333333
Group ~ NTF3,0.603907487283389,0.521739130434783,0.727272727272727,0.727272727272727,0.521739130434783
Group ~ NTF3,0.609537503338195,0.5,0.727272727272727,0.71875,0.51063829787234
Group ~ NTF3,0.614637675236906,0.478260869565217,0.727272727272727,0.709677419354839,0.5
Group ~ NTF3,0.618847877900301,0.456521739130435,0.727272727272727,0.7,0.489795918367347
Group ~ NTF3,0.624504548342863,0.434782608695652,0.727272727272727,0.689655172413793,0.48
Group ~ NTF3,0.626608352350171,0.434782608695652,0.757575757575758,0.714285714285714,0.490196078431373
Group ~ NTF3,0.629660732655291,0.41304347826087,0.757575757575758,0.703703703703704,0.480769230769231
Group ~ NTF3,0.634849141322334,0.41304347826087,0.787878787878788,0.730769230769231,0.490566037735849
Group ~ NTF3,0.637982128164173,0.41304347826087,0.818181818181818,0.76,0.5
Group ~ NTF3,0.641355428330013,0.391304347826087,0.818181818181818,0.75,0.490909090909091
Group ~ NTF3,0.645244656291308,0.369565217391304,0.818181818181818,0.739130434782609,0.482142857142857
Group ~ NTF3,0.648711880980289,0.347826086956522,0.818181818181818,0.727272727272727,0.473684210526316
Group ~ NTF3,0.655410143419697,0.326086956521739,0.818181818181818,0.714285714285714,0.46551724137931
Group ~ NTF3,0.660238939281489,0.304347826086957,0.818181818181818,0.7,0.457627118644068
Group ~ NTF3,0.666206135312225,0.304347826086957,0.848484848484848,0.736842105263158,0.466666666666667
Group ~ NTF3,0.674424132151939,0.282608695652174,0.848484848484848,0.722222222222222,0.459016393442623
Group ~ NTF3,0.67804372638033,0.260869565217391,0.848484848484848,0.705882352941177,0.451612903225806
Group ~ NTF3,0.679352912001655,0.260869565217391,0.878787878787879,0.75,0.46031746031746
Group ~ NTF3,0.680340211872892,0.239130434782609,0.878787878787879,0.733333333333333,0.453125
Group ~ NTF3,0.681780991596604,0.217391304347826,0.878787878787879,0.714285714285714,0.446153846153846
Group ~ NTF3,0.685067954255928,0.217391304347826,0.909090909090909,0.769230769230769,0.454545454545455
Group ~ NTF3,0.690788859755645,0.195652173913043,0.909090909090909,0.75,0.447761194029851
Group ~ NTF3,0.697289479079184,0.173913043478261,0.909090909090909,0.727272727272727,0.441176470588235
Group ~ NTF3,0.705949875797197,0.152173913043478,0.909090909090909,0.7,0.434782608695652
Group ~ NTF3,0.714139633824747,0.130434782608696,0.909090909090909,0.666666666666667,0.428571428571429
Group ~ NTF3,0.723570707976932,0.130434782608696,0.939393939393939,0.75,0.436619718309859
Group ~ NTF3,0.738086884383597,0.130434782608696,0.96969696969697,0.857142857142857,0.444444444444444
Group ~ NTF3,0.754494760312567,0.130434782608696,1,1,0.452054794520548
Group ~ NTF3,0.762938858356003,0.108695652173913,1,1,0.445945945945946
Group ~ NTF3,0.773743230222339,0.0869565217391304,1,1,0.44
Group ~ NTF3,0.791458969357292,0.0652173913043478,1,1,0.434210526315789
Group ~ NTF3,0.822535548327938,0.0434782608695652,1,1,0.428571428571429
Group ~ NTF3,0.86778967806606,0.0217391304347826,1,1,0.423076923076923
Group ~ NTF3,Inf,0,1,,0.417721518987342
Group ~ IL10,-Inf,1,0,0.582278481012658,
Group ~ IL10,0.381467137951994,1,0.0303030303030303,0.58974358974359,1
Group ~ IL10,0.410029464439855,1,0.0606060606060606,0.597402597402597,1
Group ~ IL10,0.427651504707019,1,0.0909090909090909,0.605263157894737,1
Group ~ IL10,0.440874993751763,1,0.121212121212121,0.613333333333333,1
Group ~ IL10,0.447647291540181,0.978260869565217,0.121212121212121,0.608108108108108,0.8
Group ~ IL10,0.45363948167836,0.956521739130435,0.121212121212121,0.602739726027397,0.666666666666667
Group ~ IL10,0.458686506087843,0.956521739130435,0.151515151515152,0.611111111111111,0.714285714285714
Group ~ IL10,0.463483390963019,0.934782608695652,0.151515151515152,0.605633802816901,0.625
Group ~ IL10,0.466894132591347,0.934782608695652,0.181818181818182,0.614285714285714,0.666666666666667
Group ~ IL10,0.472455930143575,0.91304347826087,0.181818181818182,0.608695652173913,0.6
Group ~ IL10,0.47665169572637,0.891304347826087,0.181818181818182,0.602941176470588,0.545454545454545
Group ~ IL10,0.47771445588084,0.891304347826087,0.212121212121212,0.611940298507463,0.583333333333333
Group ~ IL10,0.479765391419723,0.891304347826087,0.242424242424242,0.621212121212121,0.615384615384615
Group ~ IL10,0.481481551481332,0.891304347826087,0.272727272727273,0.630769230769231,0.642857142857143
Group ~ IL10,0.48396457243254,0.869565217391304,0.272727272727273,0.625,0.6
Group ~ IL10,0.487599510748256,0.869565217391304,0.303030303030303,0.634920634920635,0.625
Group ~ IL10,0.492704921691954,0.847826086956522,0.303030303030303,0.629032258064516,0.588235294117647
Group ~ IL10,0.49811568510142,0.826086956521739,0.303030303030303,0.622950819672131,0.555555555555556
Group ~ IL10,0.500071126158368,0.804347826086957,0.303030303030303,0.616666666666667,0.526315789473684
Group ~ IL10,0.5006857290289,0.804347826086957,0.333333333333333,0.627118644067797,0.55
Group ~ IL10,0.501091808454477,0.782608695652174,0.333333333333333,0.620689655172414,0.523809523809524
Group ~ IL10,0.501587241158531,0.782608695652174,0.363636363636364,0.631578947368421,0.545454545454545
Group ~ IL10,0.503725959371597,0.760869565217391,0.363636363636364,0.625,0.521739130434783
Group ~ IL10,0.506107127993698,0.760869565217391,0.393939393939394,0.636363636363636,0.541666666666667
Group ~ IL10,0.510090888637558,0.739130434782609,0.393939393939394,0.62962962962963,0.52
Group ~ IL10,0.513963846106968,0.717391304347826,0.393939393939394,0.622641509433962,0.5
Group ~ IL10,0.516754146917985,0.695652173913044,0.393939393939394,0.615384615384615,0.481481481481482
Group ~ IL10,0.525658923062286,0.695652173913044,0.424242424242424,0.627450980392157,0.5
Group ~ IL10,0.532760036458248,0.673913043478261,0.424242424242424,0.62,0.482758620689655
Group ~ IL10,0.53541343208538,0.652173913043478,0.424242424242424,0.612244897959184,0.466666666666667
Group ~ IL10,0.538185203072719,0.630434782608696,0.424242424242424,0.604166666666667,0.451612903225806
Group ~ IL10,0.539145736606681,0.608695652173913,0.424242424242424,0.595744680851064,0.4375
Group ~ IL10,0.542142937045838,0.586956521739131,0.424242424242424,0.586956521739131,0.424242424242424
Group ~ IL10,0.545369625269904,0.586956521739131,0.454545454545455,0.6,0.441176470588235
Group ~ IL10,0.548414176859565,0.586956521739131,0.484848484848485,0.613636363636364,0.457142857142857
Group ~ IL10,0.550947285978139,0.586956521739131,0.515151515151515,0.627906976744186,0.472222222222222
Group ~ IL10,0.55219839915029,0.565217391304348,0.515151515151515,0.619047619047619,0.45945945945946
Group ~ IL10,0.555291534190751,0.565217391304348,0.545454545454545,0.634146341463415,0.473684210526316
Group ~ IL10,0.560528912928294,0.565217391304348,0.575757575757576,0.65,0.487179487179487
Group ~ IL10,0.563782790607981,0.543478260869565,0.575757575757576,0.641025641025641,0.475
Group ~ IL10,0.566820301448262,0.543478260869565,0.606060606060606,0.657894736842105,0.487804878048781
Group ~ IL10,0.570807971998025,0.521739130434783,0.606060606060606,0.648648648648649,0.476190476190476
Group ~ IL10,0.573236834108724,0.5,0.606060606060606,0.638888888888889,0.465116279069768
Group ~ IL10,0.577330498979303,0.478260869565217,0.606060606060606,0.628571428571429,0.454545454545455
Group ~ IL10,0.581591143050473,0.478260869565217,0.636363636363636,0.647058823529412,0.466666666666667
Group ~ IL10,0.583336307847886,0.456521739130435,0.636363636363636,0.636363636363636,0.456521739130435
Group ~ IL10,0.58360774307397,0.456521739130435,0.666666666666667,0.65625,0.468085106382979
Group ~ IL10,0.590223001688264,0.456521739130435,0.696969696969697,0.67741935483871,0.479166666666667
Group ~ IL10,0.597287541970504,0.456521739130435,0.727272727272727,0.7,0.489795918367347
Group ~ IL10,0.599515195756938,0.434782608695652,0.727272727272727,0.689655172413793,0.48
Group ~ IL10,0.602979349867838,0.41304347826087,0.727272727272727,0.678571428571429,0.470588235294118
Group ~ IL10,0.604877855725551,0.391304347826087,0.727272727272727,0.666666666666667,0.461538461538462
Group ~ IL10,0.607091280724777,0.391304347826087,0.757575757575758,0.692307692307692,0.471698113207547
Group ~ IL10,0.609519343289761,0.369565217391304,0.757575757575758,0.68,0.462962962962963
Group ~ IL10,0.610604239163146,0.369565217391304,0.787878787878788,0.708333333333333,0.472727272727273
Group ~ IL10,0.611444327545365,0.347826086956522,0.787878787878788,0.695652173913044,0.464285714285714
Group ~ IL10,0.614558583014789,0.347826086956522,0.818181818181818,0.727272727272727,0.473684210526316
Group ~ IL10,0.618376705346586,0.326086956521739,0.818181818181818,0.714285714285714,0.46551724137931
Group ~ IL10,0.627269409760861,0.304347826086957,0.818181818181818,0.7,0.457627118644068
Group ~ IL10,0.640556807658828,0.282608695652174,0.818181818181818,0.68421052631579,0.45
Group ~ IL10,0.649186596397644,0.260869565217391,0.818181818181818,0.666666666666667,0.442622950819672
Group ~ IL10,0.659072058604338,0.260869565217391,0.848484848484848,0.705882352941177,0.451612903225806
Group ~ IL10,0.668937187359299,0.239130434782609,0.848484848484848,0.6875,0.444444444444444
Group ~ IL10,0.674149024699946,0.239130434782609,0.878787878787879,0.733333333333333,0.453125
Group ~ IL10,0.676424425009406,0.217391304347826,0.878787878787879,0.714285714285714,0.446153846153846
Group ~ IL10,0.680564456355077,0.217391304347826,0.909090909090909,0.769230769230769,0.454545454545455
Group ~ IL10,0.691881795377372,0.195652173913043,0.909090909090909,0.75,0.447761194029851
Group ~ IL10,0.704967088928372,0.173913043478261,0.909090909090909,0.727272727272727,0.441176470588235
Group ~ IL10,0.715406239954437,0.152173913043478,0.909090909090909,0.7,0.434782608695652
Group ~ IL10,0.736314409101655,0.152173913043478,0.939393939393939,0.777777777777778,0.442857142857143
Group ~ IL10,0.754864680719524,0.152173913043478,0.96969696969697,0.875,0.450704225352113
Group ~ IL10,0.766396078323875,0.152173913043478,1,1,0.458333333333333
Group ~ IL10,0.794952739787925,0.130434782608696,1,1,0.452054794520548
Group ~ IL10,0.822210537506116,0.108695652173913,1,1,0.445945945945946
Group ~ IL10,0.830889396060234,0.0869565217391304,1,1,0.44
Group ~ IL10,0.843374122794579,0.0652173913043478,1,1,0.434210526315789
Group ~ IL10,0.862556147390716,0.0434782608695652,1,1,0.428571428571429
Group ~ IL10,0.903659073223213,0.0217391304347826,1,1,0.423076923076923
Group ~ IL10,Inf,0,1,,0.417721518987342
Group ~ IL17C,-Inf,1,0,0.582278481012658,
Group ~ IL17C,0.260650009370889,1,0.0303030303030303,0.58974358974359,1
Group ~ IL17C,0.303924531817155,1,0.0606060606060606,0.597402597402597,1
Group ~ IL17C,0.342088108657987,1,0.0909090909090909,0.605263157894737,1
Group ~ IL17C,0.344013678563331,1,0.121212121212121,0.613333333333333,1
Group ~ IL17C,0.347918367941496,1,0.151515151515152,0.621621621621622,1
Group ~ IL17C,0.368424418187774,1,0.181818181818182,0.63013698630137,1
Group ~ IL17C,0.391079877626193,1,0.212121212121212,0.638888888888889,1
Group ~ IL17C,0.398065144470078,1,0.242424242424242,0.647887323943662,1
Group ~ IL17C,0.399331086069487,1,0.272727272727273,0.657142857142857,1
Group ~ IL17C,0.404180107313652,1,0.303030303030303,0.666666666666667,1
Group ~ IL17C,0.410860185650245,1,0.333333333333333,0.676470588235294,1
Group ~ IL17C,0.422162860134213,0.978260869565217,0.333333333333333,0.671641791044776,0.916666666666667
Group ~ IL17C,0.433535165710333,0.978260869565217,0.363636363636364,0.681818181818182,0.923076923076923
Group ~ IL17C,0.440143203351542,0.956521739130435,0.363636363636364,0.676923076923077,0.857142857142857
Group ~ IL17C,0.448367930432325,0.934782608695652,0.363636363636364,0.671875,0.8
Group ~ IL17C,0.456769704114156,0.91304347826087,0.363636363636364,0.666666666666667,0.75
Group ~ IL17C,0.464325708537119,0.91304347826087,0.393939393939394,0.67741935483871,0.764705882352941
Group ~ IL17C,0.467274282356113,0.891304347826087,0.393939393939394,0.672131147540984,0.722222222222222
Group ~ IL17C,0.468275434086144,0.869565217391304,0.393939393939394,0.666666666666667,0.68421052631579
Group ~ IL17C,0.480710623790858,0.847826086956522,0.393939393939394,0.661016949152542,0.65
Group ~ IL17C,0.492781538685188,0.826086956521739,0.393939393939394,0.655172413793103,0.619047619047619
Group ~ IL17C,0.493591899205774,0.826086956521739,0.424242424242424,0.666666666666667,0.636363636363636
Group ~ IL17C,0.496994496756695,0.804347826086957,0.424242424242424,0.660714285714286,0.608695652173913
Group ~ IL17C,0.502453673740387,0.782608695652174,0.424242424242424,0.654545454545455,0.583333333333333
Group ~ IL17C,0.506027365851804,0.760869565217391,0.424242424242424,0.648148148148148,0.56
Group ~ IL17C,0.50970242776126,0.760869565217391,0.454545454545455,0.660377358490566,0.576923076923077
Group ~ IL17C,0.513407155474392,0.739130434782609,0.454545454545455,0.653846153846154,0.555555555555556
Group ~ IL17C,0.515406185647138,0.739130434782609,0.484848484848485,0.666666666666667,0.571428571428571
Group ~ IL17C,0.51758697001254,0.717391304347826,0.484848484848485,0.66,0.551724137931035
Group ~ IL17C,0.522024596949036,0.717391304347826,0.515151515151515,0.673469387755102,0.566666666666667
Group ~ IL17C,0.53091057970919,0.717391304347826,0.545454545454545,0.6875,0.580645161290323
Group ~ IL17C,0.543026079688997,0.695652173913044,0.545454545454545,0.680851063829787,0.5625
Group ~ IL17C,0.551604783791393,0.695652173913044,0.575757575757576,0.695652173913044,0.575757575757576
Group ~ IL17C,0.559735887392152,0.695652173913044,0.606060606060606,0.711111111111111,0.588235294117647
Group ~ IL17C,0.568538844584434,0.673913043478261,0.606060606060606,0.704545454545455,0.571428571428571
Group ~ IL17C,0.573886514227247,0.673913043478261,0.636363636363636,0.72093023255814,0.583333333333333
Group ~ IL17C,0.579342514471798,0.652173913043478,0.636363636363636,0.714285714285714,0.567567567567568
Group ~ IL17C,0.582625041743433,0.630434782608696,0.636363636363636,0.707317073170732,0.552631578947369
Group ~ IL17C,0.583300603037562,0.608695652173913,0.636363636363636,0.7,0.538461538461538
Group ~ IL17C,0.584388473836743,0.586956521739131,0.636363636363636,0.692307692307692,0.525
Group ~ IL17C,0.586015406855853,0.565217391304348,0.636363636363636,0.68421052631579,0.51219512195122
Group ~ IL17C,0.587507078556429,0.565217391304348,0.666666666666667,0.702702702702703,0.523809523809524
Group ~ IL17C,0.590349591675069,0.565217391304348,0.696969696969697,0.722222222222222,0.534883720930233
Group ~ IL17C,0.593882813319249,0.565217391304348,0.727272727272727,0.742857142857143,0.545454545454545
Group ~ IL17C,0.597258808183671,0.543478260869565,0.727272727272727,0.735294117647059,0.533333333333333
Group ~ IL17C,0.599936489275199,0.521739130434783,0.727272727272727,0.727272727272727,0.521739130434783
Group ~ IL17C,0.603407818957804,0.5,0.727272727272727,0.71875,0.51063829787234
Group ~ IL17C,0.611958670634162,0.478260869565217,0.727272727272727,0.709677419354839,0.5
Group ~ IL17C,0.620944055193991,0.456521739130435,0.727272727272727,0.7,0.489795918367347
Group ~ IL17C,0.625819327575913,0.434782608695652,0.727272727272727,0.689655172413793,0.48
Group ~ IL17C,0.629294355103704,0.434782608695652,0.757575757575758,0.714285714285714,0.490196078431373
Group ~ IL17C,0.632142212673017,0.434782608695652,0.787878787878788,0.740740740740741,0.5
Group ~ IL17C,0.634509588430326,0.434782608695652,0.818181818181818,0.769230769230769,0.509433962264151
Group ~ IL17C,0.642711825707902,0.41304347826087,0.818181818181818,0.76,0.5
Group ~ IL17C,0.650766797746778,0.391304347826087,0.818181818181818,0.75,0.490909090909091
Group ~ IL17C,0.653222241888647,0.369565217391304,0.818181818181818,0.739130434782609,0.482142857142857
Group ~ IL17C,0.654707730982184,0.347826086956522,0.818181818181818,0.727272727272727,0.473684210526316
Group ~ IL17C,0.664966164521015,0.326086956521739,0.818181818181818,0.714285714285714,0.46551724137931
Group ~ IL17C,0.676615282445276,0.304347826086957,0.818181818181818,0.7,0.457627118644068
Group ~ IL17C,0.683415826240979,0.282608695652174,0.818181818181818,0.68421052631579,0.45
Group ~ IL17C,0.693712871426463,0.260869565217391,0.818181818181818,0.666666666666667,0.442622950819672
Group ~ IL17C,0.699429683274428,0.239130434782609,0.818181818181818,0.647058823529412,0.435483870967742
Group ~ IL17C,0.70112359985717,0.239130434782609,0.848484848484848,0.6875,0.444444444444444
Group ~ IL17C,0.703532190774311,0.217391304347826,0.848484848484848,0.666666666666667,0.4375
Group ~ IL17C,0.714124642960378,0.195652173913043,0.848484848484848,0.642857142857143,0.430769230769231
Group ~ IL17C,0.723610095308888,0.195652173913043,0.878787878787879,0.692307692307692,0.439393939393939
Group ~ IL17C,0.727569231906598,0.173913043478261,0.878787878787879,0.666666666666667,0.432835820895522
Group ~ IL17C,0.733759594955511,0.152173913043478,0.878787878787879,0.636363636363636,0.426470588235294
Group ~ IL17C,0.746460242615954,0.152173913043478,0.909090909090909,0.7,0.434782608695652
Group ~ IL17C,0.761904947120448,0.130434782608696,0.909090909090909,0.666666666666667,0.428571428571429
