Model,Threshold,Sensitivity,Specificity,PositivePredictiveValue,NegativePredictiveValue
Group ~ 1 + age,-Inf,1,0,0.582278481012658,
Group ~ 1 + age,0.569419942965743,0.978260869565217,0,0.576923076923077,0
Group ~ 1 + age,0.570098458968915,0.956521739130435,0,0.571428571428571,0
Group ~ 1 + age,0.570776711720466,0.934782608695652,0,0.565789473684211,0
Group ~ 1 + age,0.572132147128247,0.91304347826087,0,0.56,0
Group ~ 1 + age,0.574163663466634,0.91304347826087,0.0303030303030303,0.567567567567568,0.2
Group ~ 1 + age,0.575516905181738,0.891304347826087,0.0606060606060606,0.569444444444445,0.285714285714286
Group ~ 1 + age,0.576192964289414,0.869565217391304,0.0606060606060606,0.563380281690141,0.25
Group ~ 1 + age,0.577206409373979,0.847826086956522,0.0909090909090909,0.565217391304348,0.3
Group ~ 1 + age,0.578219421399496,0.847826086956522,0.121212121212121,0.573529411764706,0.363636363636364
Group ~ 1 + age,0.578894325690155,0.847826086956522,0.181818181818182,0.590909090909091,0.461538461538462
Group ~ 1 + age,0.57956893528099,0.782608695652174,0.212121212121212,0.580645161290323,0.411764705882353
Group ~ 1 + age,0.58024324778242,0.695652173913044,0.212121212121212,0.551724137931035,0.333333333333333
Group ~ 1 + age,0.58091726080924,0.565217391304348,0.212121212121212,0.5,0.259259259259259
Group ~ 1 + age,0.58159097198066,0.543478260869565,0.212121212121212,0.490196078431373,0.25
Group ~ 1 + age,0.582264378920332,0.5,0.303030303030303,0.5,0.303030303030303
Group ~ 1 + age,0.582937479256382,0.456521739130435,0.545454545454545,0.583333333333333,0.418604651162791
Group ~ 1 + age,0.583610270621447,0.434782608695652,0.696969696969697,0.666666666666667,0.469387755102041
Group ~ 1 + age,0.584282750652699,0.41304347826087,0.818181818181818,0.76,0.5
Group ~ 1 + age,0.584954916991883,0.369565217391304,0.878787878787879,0.80952380952381,0.5
Group ~ 1 + age,0.585626767285346,0.282608695652174,0.939393939393939,0.866666666666667,0.484375
Group ~ 1 + age,0.586298299184066,0.260869565217391,0.96969696969697,0.923076923076923,0.484848484848485
Group ~ 1 + age,0.586969510343687,0.195652173913043,0.96969696969697,0.9,0.463768115942029
Group ~ 1 + age,0.587975598113133,0.152173913043478,0.96969696969697,0.875,0.450704225352113
Group ~ 1 + age,0.588981196014997,0.130434782608696,0.96969696969697,0.857142857142857,0.444444444444444
Group ~ 1 + age,0.589651100869016,0.0869565217391304,0.96969696969697,0.8,0.432432432432432
Group ~ 1 + age,0.590320673333191,0.0434782608695652,1,1,0.428571428571429
Group ~ 1 + age,0.590989911091796,0.0217391304347826,1,1,0.423076923076923
Group ~ 1 + age,Inf,0,1,,0.417721518987342
Group ~ NTF3 + age,-Inf,1,0,0.582278481012658,
Group ~ NTF3 + age,0.251869993074444,0.978260869565217,0,0.576923076923077,0
Group ~ NTF3 + age,0.324911637479274,0.978260869565217,0.0303030303030303,0.584415584415584,0.5
Group ~ NTF3 + age,0.354403687129176,0.978260869565217,0.0606060606060606,0.592105263157895,0.666666666666667
Group ~ NTF3 + age,0.389933841476771,0.978260869565217,0.0909090909090909,0.6,0.75
Group ~ NTF3 + age,0.406441537471724,0.956521739130435,0.0909090909090909,0.594594594594595,0.6
Group ~ NTF3 + age,0.420654790429091,0.956521739130435,0.121212121212121,0.602739726027397,0.666666666666667
Group ~ NTF3 + age,0.430654761246641,0.956521739130435,0.151515151515152,0.611111111111111,0.714285714285714
Group ~ NTF3 + age,0.444724174265142,0.934782608695652,0.151515151515152,0.605633802816901,0.625
Group ~ NTF3 + age,0.457072062264457,0.934782608695652,0.181818181818182,0.614285714285714,0.666666666666667
Group ~ NTF3 + age,0.459366015059487,0.934782608695652,0.212121212121212,0.623188405797102,0.7
Group ~ NTF3 + age,0.468360215403675,0.91304347826087,0.212121212121212,0.617647058823529,0.636363636363636
Group ~ NTF3 + age,0.481269333027695,0.91304347826087,0.242424242424242,0.626865671641791,0.666666666666667
Group ~ NTF3 + age,0.487720227470453,0.891304347826087,0.242424242424242,0.621212121212121,0.615384615384615
Group ~ NTF3 + age,0.490834314150415,0.891304347826087,0.272727272727273,0.630769230769231,0.642857142857143
Group ~ NTF3 + age,0.493081849110441,0.891304347826087,0.303030303030303,0.640625,0.666666666666667
Group ~ NTF3 + age,0.495960907796482,0.891304347826087,0.333333333333333,0.650793650793651,0.6875
Group ~ NTF3 + age,0.497663277864482,0.869565217391304,0.333333333333333,0.645161290322581,0.647058823529412
Group ~ NTF3 + age,0.499530067258876,0.869565217391304,0.363636363636364,0.655737704918033,0.666666666666667
Group ~ NTF3 + age,0.501664269029815,0.869565217391304,0.393939393939394,0.666666666666667,0.68421052631579
Group ~ NTF3 + age,0.507072986209221,0.847826086956522,0.393939393939394,0.661016949152542,0.65
Group ~ NTF3 + age,0.514638302690957,0.847826086956522,0.424242424242424,0.672413793103448,0.666666666666667
Group ~ NTF3 + age,0.519411975744196,0.826086956521739,0.424242424242424,0.666666666666667,0.636363636363636
Group ~ NTF3 + age,0.52446268166082,0.804347826086957,0.424242424242424,0.660714285714286,0.608695652173913
Group ~ NTF3 + age,0.529567690445334,0.782608695652174,0.424242424242424,0.654545454545455,0.583333333333333
Group ~ NTF3 + age,0.532954672710953,0.782608695652174,0.454545454545455,0.666666666666667,0.6
Group ~ NTF3 + age,0.536394667213364,0.760869565217391,0.454545454545455,0.660377358490566,0.576923076923077
Group ~ NTF3 + age,0.539395076322046,0.739130434782609,0.454545454545455,0.653846153846154,0.555555555555556
Group ~ NTF3 + age,0.541529865388233,0.717391304347826,0.454545454545455,0.647058823529412,0.535714285714286
Group ~ NTF3 + age,0.546120527578978,0.695652173913044,0.454545454545455,0.64,0.517241379310345
Group ~ NTF3 + age,0.550745959576503,0.695652173913044,0.484848484848485,0.653061224489796,0.533333333333333
Group ~ NTF3 + age,0.555106976441508,0.673913043478261,0.484848484848485,0.645833333333333,0.516129032258065
Group ~ NTF3 + age,0.559320347427778,0.652173913043478,0.484848484848485,0.638297872340426,0.5
Group ~ NTF3 + age,0.564012553026524,0.630434782608696,0.484848484848485,0.630434782608696,0.484848484848485
Group ~ NTF3 + age,0.568321106307512,0.630434782608696,0.515151515151515,0.644444444444445,0.5
Group ~ NTF3 + age,0.570804962157046,0.608695652173913,0.515151515151515,0.636363636363636,0.485714285714286
Group ~ NTF3 + age,0.5725071776958,0.586956521739131,0.515151515151515,0.627906976744186,0.472222222222222
Group ~ NTF3 + age,0.574059584230588,0.586956521739131,0.545454545454545,0.642857142857143,0.486486486486487
Group ~ NTF3 + age,0.575471917151737,0.586956521739131,0.575757575757576,0.658536585365854,0.5
Group ~ NTF3 + age,0.576982266615763,0.586956521739131,0.606060606060606,0.675,0.512820512820513
Group ~ NTF3 + age,0.57882902693993,0.586956521739131,0.636363636363636,0.692307692307692,0.525
Group ~ NTF3 + age,0.579675080962563,0.565217391304348,0.636363636363636,0.68421052631579,0.51219512195122
Group ~ NTF3 + age,0.58179207170427,0.565217391304348,0.666666666666667,0.702702702702703,0.523809523809524
Group ~ NTF3 + age,0.584582562250366,0.543478260869565,0.666666666666667,0.694444444444445,0.511627906976744
Group ~ NTF3 + age,0.58760340386224,0.543478260869565,0.696969696969697,0.714285714285714,0.522727272727273
Group ~ NTF3 + age,0.595845535673423,0.521739130434783,0.696969696969697,0.705882352941177,0.511111111111111
Group ~ NTF3 + age,0.602235123458808,0.521739130434783,0.727272727272727,0.727272727272727,0.521739130434783
Group ~ NTF3 + age,0.606922176720599,0.5,0.727272727272727,0.71875,0.51063829787234
Group ~ NTF3 + age,0.612224519644306,0.478260869565217,0.727272727272727,0.709677419354839,0.5
Group ~ NTF3 + age,0.618649744470701,0.456521739130435,0.727272727272727,0.7,0.489795918367347
Group ~ NTF3 + age,0.625691227678064,0.434782608695652,0.727272727272727,0.689655172413793,0.48
Group ~ NTF3 + age,0.627068077713435,0.434782608695652,0.757575757575758,0.714285714285714,0.490196078431373
Group ~ NTF3 + age,0.630125725238228,0.41304347826087,0.757575757575758,0.703703703703704,0.480769230769231
Group ~ NTF3 + age,0.634744167094909,0.41304347826087,0.787878787878788,0.730769230769231,0.490566037735849
Group ~ NTF3 + age,0.63710505118909,0.391304347826087,0.787878787878788,0.72,0.481481481481482
Group ~ NTF3 + age,0.640719285597184,0.391304347826087,0.818181818181818,0.75,0.490909090909091
Group ~ NTF3 + age,0.649548853495794,0.369565217391304,0.818181818181818,0.739130434782609,0.482142857142857
Group ~ NTF3 + age,0.655748813052245,0.347826086956522,0.818181818181818,0.727272727272727,0.473684210526316
Group ~ NTF3 + age,0.656546308871866,0.326086956521739,0.818181818181818,0.714285714285714,0.46551724137931
Group ~ NTF3 + age,0.659155710551933,0.304347826086957,0.818181818181818,0.7,0.457627118644068
Group ~ NTF3 + age,0.66383546850059,0.304347826086957,0.848484848484848,0.736842105263158,0.466666666666667
Group ~ NTF3 + age,0.669070619394875,0.282608695652174,0.848484848484848,0.722222222222222,0.459016393442623
Group ~ NTF3 + age,0.675784373188221,0.260869565217391,0.848484848484848,0.705882352941177,0.451612903225806
Group ~ NTF3 + age,0.682099575965657,0.239130434782609,0.848484848484848,0.6875,0.444444444444444
Group ~ NTF3 + age,0.684427758698172,0.217391304347826,0.848484848484848,0.666666666666667,0.4375
Group ~ NTF3 + age,0.68480403405498,0.217391304347826,0.878787878787879,0.714285714285714,0.446153846153846
Group ~ NTF3 + age,0.687527027578448,0.217391304347826,0.909090909090909,0.769230769230769,0.454545454545455
Group ~ NTF3 + age,0.69278598013806,0.195652173913043,0.909090909090909,0.75,0.447761194029851
Group ~ NTF3 + age,0.696159968951177,0.173913043478261,0.909090909090909,0.727272727272727,0.441176470588235
Group ~ NTF3 + age,0.701332409783323,0.152173913043478,0.909090909090909,0.7,0.434782608695652
Group ~ NTF3 + age,0.712293486396765,0.130434782608696,0.909090909090909,0.666666666666667,0.428571428571429
Group ~ NTF3 + age,0.718655862314271,0.130434782608696,0.939393939393939,0.75,0.436619718309859
Group ~ NTF3 + age,0.730246872620783,0.130434782608696,0.96969696969697,0.857142857142857,0.444444444444444
Group ~ NTF3 + age,0.750777465542666,0.130434782608696,1,1,0.452054794520548
Group ~ NTF3 + age,0.762896194232779,0.108695652173913,1,1,0.445945945945946
Group ~ NTF3 + age,0.777148529258597,0.0869565217391304,1,1,0.44
Group ~ NTF3 + age,0.797485140564217,0.0652173913043478,1,1,0.434210526315789
Group ~ NTF3 + age,0.82819565585913,0.0434782608695652,1,1,0.428571428571429
Group ~ NTF3 + age,0.869371156008586,0.0217391304347826,1,1,0.423076923076923
Group ~ NTF3 + age,Inf,0,1,,0.417721518987342
Group ~ IL10 + age,-Inf,1,0,0.582278481012658,
Group ~ IL10 + age,0.370401751443831,1,0.0303030303030303,0.58974358974359,1
Group ~ IL10 + age,0.404986671004045,1,0.0606060606060606,0.597402597402597,1
Group ~ IL10 + age,0.413795269607577,1,0.0909090909090909,0.605263157894737,1
Group ~ IL10 + age,0.418041290202148,1,0.121212121212121,0.613333333333333,1
Group ~ IL10 + age,0.427148114215286,0.978260869565217,0.121212121212121,0.608108108108108,0.8
Group ~ IL10 + age,0.4390340175302,0.978260869565217,0.151515151515152,0.616438356164384,0.833333333333333
Group ~ IL10 + age,0.4453846921942,0.978260869565217,0.181818181818182,0.625,0.857142857142857
Group ~ IL10 + age,0.448840524868042,0.956521739130435,0.181818181818182,0.619718309859155,0.75
Group ~ IL10 + age,0.457096586274659,0.934782608695652,0.181818181818182,0.614285714285714,0.666666666666667
Group ~ IL10 + age,0.464985413580865,0.934782608695652,0.212121212121212,0.623188405797102,0.7
Group ~ IL10 + age,0.469185865431969,0.934782608695652,0.242424242424242,0.632352941176471,0.727272727272727
Group ~ IL10 + age,0.471863466595906,0.934782608695652,0.272727272727273,0.641791044776119,0.75
Group ~ IL10 + age,0.472915251014706,0.91304347826087,0.272727272727273,0.636363636363636,0.692307692307692
Group ~ IL10 + age,0.474457077903824,0.891304347826087,0.272727272727273,0.630769230769231,0.642857142857143
Group ~ IL10 + age,0.476439488260742,0.869565217391304,0.272727272727273,0.625,0.6
Group ~ IL10 + age,0.484619778032961,0.847826086956522,0.272727272727273,0.619047619047619,0.5625
Group ~ IL10 + age,0.492002786096495,0.847826086956522,0.303030303030303,0.629032258064516,0.588235294117647
Group ~ IL10 + age,0.493403395556893,0.826086956521739,0.303030303030303,0.622950819672131,0.555555555555556
Group ~ IL10 + age,0.495740016108163,0.804347826086957,0.303030303030303,0.616666666666667,0.526315789473684
Group ~ IL10 + age,0.500531498915031,0.804347826086957,0.333333333333333,0.627118644067797,0.55
Group ~ IL10 + age,0.505307489325879,0.782608695652174,0.333333333333333,0.620689655172414,0.523809523809524
Group ~ IL10 + age,0.509451969397637,0.782608695652174,0.363636363636364,0.631578947368421,0.545454545454545
Group ~ IL10 + age,0.51359190739745,0.760869565217391,0.363636363636364,0.625,0.521739130434783
Group ~ IL10 + age,0.515365483435242,0.739130434782609,0.363636363636364,0.618181818181818,0.5
Group ~ IL10 + age,0.516324942008902,0.739130434782609,0.393939393939394,0.62962962962963,0.52
