Model,Threshold,Sensitivity,Specificity,PositivePredictiveValue,NegativePredictiveValue
Group ~ 1,-Inf,1,0,0.582278481012658,
Group ~ 1,Inf,0,1,,0.417721518987342
Group ~ NTF3+IL10,-Inf,1,0,0.582278481012658,
Group ~ NTF3+IL10,0.153090548247157,0.978260869565217,0,0.576923076923077,0
Group ~ NTF3+IL10,0.244499803538029,0.978260869565217,0.0303030303030303,0.584415584415584,0.5
Group ~ NTF3+IL10,0.269726010835536,0.978260869565217,0.0606060606060606,0.592105263157895,0.666666666666667
Group ~ NTF3+IL10,0.279057647978251,0.978260869565217,0.0909090909090909,0.6,0.75
Group ~ NTF3+IL10,0.29764138889778,0.978260869565217,0.121212121212121,0.608108108108108,0.8
Group ~ NTF3+IL10,0.311522374752658,0.978260869565217,0.151515151515152,0.616438356164384,0.833333333333333
Group ~ NTF3+IL10,0.336239621400629,0.978260869565217,0.181818181818182,0.625,0.857142857142857
Group ~ NTF3+IL10,0.365601031689536,0.956521739130435,0.181818181818182,0.619718309859155,0.75
Group ~ NTF3+IL10,0.374014517651094,0.956521739130435,0.212121212121212,0.628571428571429,0.777777777777778
Group ~ NTF3+IL10,0.376631193311751,0.956521739130435,0.242424242424242,0.63768115942029,0.8
Group ~ NTF3+IL10,0.381697927643511,0.956521739130435,0.272727272727273,0.647058823529412,0.818181818181818
Group ~ NTF3+IL10,0.387947952521249,0.956521739130435,0.303030303030303,0.656716417910448,0.833333333333333
Group ~ NTF3+IL10,0.400019587870669,0.956521739130435,0.333333333333333,0.666666666666667,0.846153846153846
Group ~ NTF3+IL10,0.419037640782514,0.934782608695652,0.333333333333333,0.661538461538462,0.785714285714286
Group ~ NTF3+IL10,0.434149322977773,0.91304347826087,0.333333333333333,0.65625,0.733333333333333
Group ~ NTF3+IL10,0.449367686868635,0.91304347826087,0.363636363636364,0.666666666666667,0.75
Group ~ NTF3+IL10,0.465065042045515,0.891304347826087,0.363636363636364,0.661290322580645,0.705882352941177
Group ~ NTF3+IL10,0.477885465792143,0.869565217391304,0.363636363636364,0.655737704918033,0.666666666666667
Group ~ NTF3+IL10,0.487257773381015,0.869565217391304,0.393939393939394,0.666666666666667,0.68421052631579
Group ~ NTF3+IL10,0.490930531088145,0.869565217391304,0.424242424242424,0.677966101694915,0.7
Group ~ NTF3+IL10,0.500292829962941,0.847826086956522,0.424242424242424,0.672413793103448,0.666666666666667
Group ~ NTF3+IL10,0.515149720566451,0.826086956521739,0.424242424242424,0.666666666666667,0.636363636363636
Group ~ NTF3+IL10,0.524672253270848,0.826086956521739,0.454545454545455,0.678571428571429,0.652173913043478
Group ~ NTF3+IL10,0.528606555226913,0.804347826086957,0.454545454545455,0.672727272727273,0.625
Group ~ NTF3+IL10,0.530880687676531,0.804347826086957,0.484848484848485,0.685185185185185,0.64
Group ~ NTF3+IL10,0.532812097642605,0.782608695652174,0.484848484848485,0.679245283018868,0.615384615384615
Group ~ NTF3+IL10,0.533566034064729,0.760869565217391,0.484848484848485,0.673076923076923,0.592592592592593
Group ~ NTF3+IL10,0.535383043551442,0.760869565217391,0.515151515151515,0.686274509803922,0.607142857142857
Group ~ NTF3+IL10,0.537735481167794,0.739130434782609,0.515151515151515,0.68,0.586206896551724
Group ~ NTF3+IL10,0.53864021302104,0.717391304347826,0.515151515151515,0.673469387755102,0.566666666666667
Group ~ NTF3+IL10,0.539628772189626,0.717391304347826,0.545454545454545,0.6875,0.580645161290323
Group ~ NTF3+IL10,0.544376781282177,0.717391304347826,0.575757575757576,0.702127659574468,0.59375
Group ~ NTF3+IL10,0.549377145833208,0.717391304347826,0.606060606060606,0.717391304347826,0.606060606060606
Group ~ NTF3+IL10,0.552059944875766,0.695652173913044,0.606060606060606,0.711111111111111,0.588235294117647
Group ~ NTF3+IL10,0.553669447289205,0.695652173913044,0.636363636363636,0.727272727272727,0.6
Group ~ NTF3+IL10,0.555737165461493,0.695652173913044,0.666666666666667,0.744186046511628,0.611111111111111
Group ~ NTF3+IL10,0.558440979360499,0.673913043478261,0.666666666666667,0.738095238095238,0.594594594594595
Group ~ NTF3+IL10,0.566178052115895,0.652173913043478,0.666666666666667,0.731707317073171,0.578947368421053
Group ~ NTF3+IL10,0.57631547950839,0.630434782608696,0.666666666666667,0.725,0.564102564102564
Group ~ NTF3+IL10,0.583011290014475,0.608695652173913,0.666666666666667,0.717948717948718,0.55
Group ~ NTF3+IL10,0.592463857572671,0.608695652173913,0.696969696969697,0.736842105263158,0.560975609756098
Group ~ NTF3+IL10,0.601655159958522,0.608695652173913,0.727272727272727,0.756756756756757,0.571428571428571
Group ~ NTF3+IL10,0.607817969929255,0.586956521739131,0.727272727272727,0.75,0.558139534883721
Group ~ NTF3+IL10,0.610875085134075,0.586956521739131,0.757575757575758,0.771428571428571,0.568181818181818
Group ~ NTF3+IL10,0.614798437778757,0.565217391304348,0.757575757575758,0.764705882352941,0.555555555555556
Group ~ NTF3+IL10,0.619727961772592,0.543478260869565,0.757575757575758,0.757575757575758,0.543478260869565
Group ~ NTF3+IL10,0.624133447748591,0.521739130434783,0.757575757575758,0.75,0.531914893617021
Group ~ NTF3+IL10,0.631159864271791,0.5,0.757575757575758,0.741935483870968,0.520833333333333
Group ~ NTF3+IL10,0.638627385779487,0.478260869565217,0.757575757575758,0.733333333333333,0.510204081632653
Group ~ NTF3+IL10,0.642367166626609,0.456521739130435,0.757575757575758,0.724137931034483,0.5
Group ~ NTF3+IL10,0.643129289757988,0.456521739130435,0.787878787878788,0.75,0.509803921568627
Group ~ NTF3+IL10,0.644235264832417,0.456521739130435,0.818181818181818,0.777777777777778,0.519230769230769
Group ~ NTF3+IL10,0.644889133436121,0.434782608695652,0.818181818181818,0.769230769230769,0.509433962264151
Group ~ NTF3+IL10,0.646885892619883,0.434782608695652,0.848484848484848,0.8,0.518518518518519
Group ~ NTF3+IL10,0.649790492148068,0.434782608695652,0.878787878787879,0.833333333333333,0.527272727272727
Group ~ NTF3+IL10,0.655395929499177,0.41304347826087,0.878787878787879,0.826086956521739,0.517857142857143
Group ~ NTF3+IL10,0.663890880320427,0.391304347826087,0.878787878787879,0.818181818181818,0.508771929824562
Group ~ NTF3+IL10,0.672361054349633,0.369565217391304,0.878787878787879,0.80952380952381,0.5
Group ~ NTF3+IL10,0.67874656258375,0.369565217391304,0.909090909090909,0.85,0.508474576271186
Group ~ NTF3+IL10,0.687898110070362,0.347826086956522,0.909090909090909,0.842105263157895,0.5
Group ~ NTF3+IL10,0.704924358099524,0.326086956521739,0.909090909090909,0.833333333333333,0.491803278688525
Group ~ NTF3+IL10,0.720035864750947,0.304347826086957,0.909090909090909,0.823529411764706,0.483870967741936
Group ~ NTF3+IL10,0.728522169352617,0.282608695652174,0.909090909090909,0.8125,0.476190476190476
Group ~ NTF3+IL10,0.740857925431305,0.260869565217391,0.909090909090909,0.8,0.46875
Group ~ NTF3+IL10,0.752282610324568,0.239130434782609,0.909090909090909,0.785714285714286,0.461538461538462
Group ~ NTF3+IL10,0.760773503785662,0.217391304347826,0.909090909090909,0.769230769230769,0.454545454545455
Group ~ NTF3+IL10,0.774450840277093,0.217391304347826,0.939393939393939,0.833333333333333,0.462686567164179
Group ~ NTF3+IL10,0.784347511538128,0.195652173913043,0.939393939393939,0.818181818181818,0.455882352941176
Group ~ NTF3+IL10,0.787853498255683,0.173913043478261,0.939393939393939,0.8,0.449275362318841
Group ~ NTF3+IL10,0.789925221786399,0.152173913043478,0.939393939393939,0.777777777777778,0.442857142857143
Group ~ NTF3+IL10,0.792811459044332,0.152173913043478,0.96969696969697,0.875,0.450704225352113
Group ~ NTF3+IL10,0.805131289845784,0.130434782608696,0.96969696969697,0.857142857142857,0.444444444444444
Group ~ NTF3+IL10,0.829334235570156,0.108695652173913,0.96969696969697,0.833333333333333,0.438356164383562
Group ~ NTF3+IL10,0.851985355929905,0.108695652173913,1,1,0.445945945945946
Group ~ NTF3+IL10,0.861837745074808,0.0869565217391304,1,1,0.44
Group ~ NTF3+IL10,0.871567788288849,0.0652173913043478,1,1,0.434210526315789
Group ~ NTF3+IL10,0.912473353354685,0.0434782608695652,1,1,0.428571428571429
Group ~ NTF3+IL10,0.966012799922187,0.0217391304347826,1,1,0.423076923076923
Group ~ NTF3+IL10,Inf,0,1,,0.417721518987342
Group ~ NTF3+IL17C,-Inf,1,0,0.582278481012658,
Group ~ NTF3+IL17C,0.177844531357158,0.978260869565217,0,0.576923076923077,0
Group ~ NTF3+IL17C,0.225817124138031,0.978260869565217,0.0303030303030303,0.584415584415584,0.5
Group ~ NTF3+IL17C,0.236996258920547,0.978260869565217,0.0606060606060606,0.592105263157895,0.666666666666667
Group ~ NTF3+IL17C,0.246708269102985,0.978260869565217,0.0909090909090909,0.6,0.75
Group ~ NTF3+IL17C,0.271939659638159,0.978260869565217,0.121212121212121,0.608108108108108,0.8
Group ~ NTF3+IL17C,0.290545217225437,0.978260869565217,0.151515151515152,0.616438356164384,0.833333333333333
Group ~ NTF3+IL17C,0.301503819971811,0.978260869565217,0.181818181818182,0.625,0.857142857142857
Group ~ NTF3+IL17C,0.331730184280404,0.978260869565217,0.212121212121212,0.633802816901409,0.875
Group ~ NTF3+IL17C,0.354368772389622,0.978260869565217,0.242424242424242,0.642857142857143,0.888888888888889
Group ~ NTF3+IL17C,0.35785491396936,0.978260869565217,0.272727272727273,0.652173913043478,0.9
Group ~ NTF3+IL17C,0.368027600897298,0.978260869565217,0.303030303030303,0.661764705882353,0.909090909090909
Group ~ NTF3+IL17C,0.380139909819606,0.956521739130435,0.303030303030303,0.656716417910448,0.833333333333333
Group ~ NTF3+IL17C,0.386554012047157,0.956521739130435,0.333333333333333,0.666666666666667,0.846153846153846
Group ~ NTF3+IL17C,0.390788259789259,0.956521739130435,0.363636363636364,0.676923076923077,0.857142857142857
Group ~ NTF3+IL17C,0.394479747600038,0.956521739130435,0.393939393939394,0.6875,0.866666666666667
Group ~ NTF3+IL17C,0.410562966562565,0.934782608695652,0.393939393939394,0.682539682539683,0.8125
Group ~ NTF3+IL17C,0.430393977408413,0.934782608695652,0.424242424242424,0.693548387096774,0.823529411764706
Group ~ NTF3+IL17C,0.44086892143427,0.91304347826087,0.424242424242424,0.688524590163934,0.777777777777778
Group ~ NTF3+IL17C,0.449834353569583,0.91304347826087,0.454545454545455,0.7,0.789473684210526
Group ~ NTF3+IL17C,0.457753413491363,0.891304347826087,0.454545454545455,0.694915254237288,0.75
Group ~ NTF3+IL17C,0.462922342984133,0.869565217391304,0.454545454545455,0.689655172413793,0.714285714285714
Group ~ NTF3+IL17C,0.465231922976047,0.847826086956522,0.454545454545455,0.68421052631579,0.681818181818182
Group ~ NTF3+IL17C,0.468115929417604,0.847826086956522,0.484848484848485,0.696428571428571,0.695652173913044
Group ~ NTF3+IL17C,0.473225754380399,0.847826086956522,0.515151515151515,0.709090909090909,0.708333333333333
Group ~ NTF3+IL17C,0.482181789020243,0.826086956521739,0.515151515151515,0.703703703703704,0.68
Group ~ NTF3+IL17C,0.490468812702469,0.804347826086957,0.515151515151515,0.69811320754717,0.653846153846154
Group ~ NTF3+IL17C,0.494699719667315,0.782608695652174,0.515151515151515,0.692307692307692,0.62962962962963
Group ~ NTF3+IL17C,0.495959752761037,0.760869565217391,0.515151515151515,0.686274509803922,0.607142857142857
Group ~ NTF3+IL17C,0.502705434050969,0.760869565217391,0.545454545454545,0.7,0.620689655172414
Group ~ NTF3+IL17C,0.509882093133827,0.760869565217391,0.575757575757576,0.714285714285714,0.633333333333333
Group ~ NTF3+IL17C,0.514662727668764,0.739130434782609,0.575757575757576,0.708333333333333,0.612903225806452
Group ~ NTF3+IL17C,0.523129076452432,0.739130434782609,0.606060606060606,0.723404255319149,0.625
Group ~ NTF3+IL17C,0.537544259644774,0.717391304347826,0.606060606060606,0.717391304347826,0.606060606060606
Group ~ NTF3+IL17C,0.547621739938291,0.717391304347826,0.636363636363636,0.733333333333333,0.617647058823529
Group ~ NTF3+IL17C,0.553968554359571,0.717391304347826,0.666666666666667,0.75,0.628571428571429
Group ~ NTF3+IL17C,0.560333023005903,0.717391304347826,0.696969696969697,0.767441860465116,0.638888888888889
Group ~ NTF3+IL17C,0.565354820549268,0.717391304347826,0.727272727272727,0.785714285714286,0.648648648648649
Group ~ NTF3+IL17C,0.573780237944555,0.695652173913044,0.727272727272727,0.780487804878049,0.631578947368421
Group ~ NTF3+IL17C,0.579365402198549,0.695652173913044,0.757575757575758,0.8,0.641025641025641
Group ~ NTF3+IL17C,0.582966720464361,0.673913043478261,0.757575757575758,0.794871794871795,0.625
Group ~ NTF3+IL17C,0.590613985036821,0.652173913043478,0.757575757575758,0.789473684210526,0.609756097560976
Group ~ NTF3+IL17C,0.60168718329452,0.630434782608696,0.757575757575758,0.783783783783784,0.595238095238095
Group ~ NTF3+IL17C,0.608805242803361,0.608695652173913,0.757575757575758,0.777777777777778,0.581395348837209
Group ~ NTF3+IL17C,0.613337840559671,0.586956521739131,0.757575757575758,0.771428571428571,0.568181818181818
Group ~ NTF3+IL17C,0.619610617713645,0.565217391304348,0.757575757575758,0.764705882352941,0.555555555555556
Group ~ NTF3+IL17C,0.625593320915981,0.543478260869565,0.757575757575758,0.757575757575758,0.543478260869565
Group ~ NTF3+IL17C,0.632166994441845,0.543478260869565,0.787878787878788,0.78125,0.553191489361702
Group ~ NTF3+IL17C,0.639604586919363,0.521739130434783,0.787878787878788,0.774193548387097,0.541666666666667
Group ~ NTF3+IL17C,0.643112437913335,0.521739130434783,0.818181818181818,0.8,0.551020408163265
Group ~ NTF3+IL17C,0.657894523494111,0.5,0.818181818181818,0.793103448275862,0.54
Group ~ NTF3+IL17C,0.672963638373862,0.478260869565217,0.818181818181818,0.785714285714286,0.529411764705882
Group ~ NTF3+IL17C,0.675554270015151,0.478260869565217,0.848484848484848,0.814814814814815,0.538461538461538
Group ~ NTF3+IL17C,0.679954866518923,0.456521739130435,0.848484848484848,0.807692307692308,0.528301886792453
Group ~ NTF3+IL17C,0.682483098470883,0.434782608695652,0.848484848484848,0.8,0.518518518518519
Group ~ NTF3+IL17C,0.685942861132004,0.41304347826087,0.848484848484848,0.791666666666667,0.509090909090909
Group ~ NTF3+IL17C,0.699333953397669,0.391304347826087,0.848484848484848,0.782608695652174,0.5
Group ~ NTF3+IL17C,0.713814006627384,0.369565217391304,0.848484848484848,0.772727272727273,0.491228070175439
Group ~ NTF3+IL17C,0.718720828648796,0.347826086956522,0.848484848484848,0.761904761904762,0.482758620689655
Group ~ NTF3+IL17C,0.721115630092392,0.326086956521739,0.848484848484848,0.75,0.474576271186441
Group ~ NTF3+IL17C,0.723891092398579,0.326086956521739,0.878787878787879,0.789473684210526,0.483333333333333
Group ~ NTF3+IL17C,0.724948042686739,0.304347826086957,0.878787878787879,0.777777777777778,0.475409836065574
Group ~ NTF3+IL17C,0.74220921695069,0.282608695652174,0.878787878787879,0.764705882352941,0.467741935483871
Group ~ NTF3+IL17C,0.759653896257336,0.260869565217391,0.878787878787879,0.75,0.46031746031746
Group ~ NTF3+IL17C,0.766948593422324,0.260869565217391,0.909090909090909,0.8,0.46875
Group ~ NTF3+IL17C,0.776247747444806,0.239130434782609,0.909090909090909,0.785714285714286,0.461538461538462
Group ~ NTF3+IL17C,0.779781834738102,0.217391304347826,0.909090909090909,0.769230769230769,0.454545454545455
Group ~ NTF3+IL17C,0.792104979664496,0.195652173913043,0.909090909090909,0.75,0.447761194029851
Group ~ NTF3+IL17C,0.807294031012646,0.173913043478261,0.909090909090909,0.727272727272727,0.441176470588235
Group ~ NTF3+IL17C,0.82155088864502,0.152173913043478,0.909090909090909,0.7,0.434782608695652
Group ~ NTF3+IL17C,0.837951643435188,0.152173913043478,0.939393939393939,0.777777777777778,0.442857142857143
Group ~ NTF3+IL17C,0.852032909588011,0.152173913043478,0.96969696969697,0.875,0.450704225352113
Group ~ NTF3+IL17C,0.868883577051357,0.130434782608696,0.96969696969697,0.857142857142857,0.444444444444444
Group ~ NTF3+IL17C,0.881381376329236,0.108695652173913,0.96969696969697,0.833333333333333,0.438356164383562
Group ~ NTF3+IL17C,0.885866579423221,0.0869565217391304,0.96969696969697,0.8,0.432432432432432
Group ~ NTF3+IL17C,0.892080355421886,0.0652173913043478,0.96969696969697,0.75,0.426666666666667
Group ~ NTF3+IL17C,0.898230056544171,0.0652173913043478,1,1,0.434210526315789
Group ~ NTF3+IL17C,0.920856978547538,0.0434782608695652,1,1,0.428571428571429
Group ~ NTF3+IL17C,0.948855044767819,0.0217391304347826,1,1,0.423076923076923
Group ~ NTF3+IL17C,Inf,0,1,,0.417721518987342
Group ~ NTF3+uPA,-Inf,1,0,0.582278481012658,
Group ~ NTF3+uPA,0.128726160007108,1,0.0303030303030303,0.58974358974359,1
Group ~ NTF3+uPA,0.220018180157016,0.978260869565217,0.0303030303030303,0.584415584415584,0.5
Group ~ NTF3+uPA,0.223670164572309,0.978260869565217,0.0606060606060606,0.592105263157895,0.666666666666667
Group ~ NTF3+uPA,0.25882585162209,0.978260869565217,0.0909090909090909,0.6,0.75
Group ~ NTF3+uPA,0.293170892966717,0.978260869565217,0.121212121212121,0.608108108108108,0.8
Group ~ NTF3+uPA,0.30049725556384,0.978260869565217,0.151515151515152,0.616438356164384,0.833333333333333
Group ~ NTF3+uPA,0.310548002645048,0.978260869565217,0.181818181818182,0.625,0.857142857142857
Group ~ NTF3+uPA,0.321040596258443,0.956521739130435,0.181818181818182,0.619718309859155,0.75
Group ~ NTF3+uPA,0.337100321232089,0.934782608695652,0.181818181818182,0.614285714285714,0.666666666666667
Group ~ NTF3+uPA,0.347266717186971,0.91304347826087,0.181818181818182,0.608695652173913,0.6
Group ~ NTF3+uPA,0.370662893961631,0.891304347826087,0.181818181818182,0.602941176470588,0.545454545454545
Group ~ NTF3+uPA,0.395176146916537,0.869565217391304,0.181818181818182,0.597014925373134,0.5
Group ~ NTF3+uPA,0.403875113629095,0.847826086956522,0.181818181818182,0.590909090909091,0.461538461538462
Group ~ NTF3+uPA,0.415439415057728,0.847826086956522,0.212121212121212,0.6,0.5
Group ~ NTF3+uPA,0.422583739291511,0.847826086956522,0.242424242424242,0.609375,0.533333333333333
Group ~ NTF3+uPA,0.430737556632426,0.847826086956522,0.272727272727273,0.619047619047619,0.5625
Group ~ NTF3+uPA,0.438783971240104,0.847826086956522,0.303030303030303,0.629032258064516,0.588235294117647
Group ~ NTF3+uPA,0.443407581984817,0.847826086956522,0.333333333333333,0.639344262295082,0.611111111111111
Group ~ NTF3+uPA,0.459953781850637,0.847826086956522,0.363636363636364,0.65,0.631578947368421
Group ~ NTF3+uPA,0.478003719991535,0.847826086956522,0.393939393939394,0.661016949152542,0.65
Group ~ NTF3+uPA,0.483283142179339,0.847826086956522,0.424242424242424,0.672413793103448,0.666666666666667
Group ~ NTF3+uPA,0.484421169916124,0.826086956521739,0.424242424242424,0.666666666666667,0.636363636363636
Group ~ NTF3+uPA,0.485730393517116,0.826086956521739,0.454545454545455,0.678571428571429,0.652173913043478
Group ~ NTF3+uPA,0.494689345703563,0.826086956521739,0.484848484848485,0.690909090909091,0.666666666666667
Group ~ NTF3+uPA,0.504281882560591,0.826086956521739,0.515151515151515,0.703703703703704,0.68
Group ~ NTF3+uPA,0.510317346192307,0.804347826086957,0.515151515151515,0.69811320754717,0.653846153846154
Group ~ NTF3+uPA,0.516079289035285,0.804347826086957,0.545454545454545,0.711538461538462,0.666666666666667
Group ~ NTF3+uPA,0.517184189458699,0.804347826086957,0.575757575757576,0.725490196078431,0.678571428571429
Group ~ NTF3+uPA,0.518262050972543,0.782608695652174,0.575757575757576,0.72,0.655172413793103
Group ~ NTF3+uPA,0.521994141265101,0.782608695652174,0.606060606060606,0.73469387755102,0.666666666666667
Group ~ NTF3+uPA,0.526943732645008,0.760869565217391,0.606060606060606,0.729166666666667,0.645161290322581
Group ~ NTF3+uPA,0.53249777946642,0.760869565217391,0.636363636363636,0.74468085106383,0.65625
Group ~ NTF3+uPA,0.538541507996951,0.739130434782609,0.636363636363636,0.739130434782609,0.636363636363636
Group ~ NTF3+uPA,0.542809936073915,0.717391304347826,0.636363636363636,0.733333333333333,0.617647058823529
Group ~ NTF3+uPA,0.550661947852619,0.695652173913044,0.636363636363636,0.727272727272727,0.6
Group ~ NTF3+uPA,0.56327094004447,0.673913043478261,0.636363636363636,0.72093023255814,0.583333333333333
Group ~ NTF3+uPA,0.572763525797009,0.673913043478261,0.666666666666667,0.738095238095238,0.594594594594595
Group ~ NTF3+uPA,0.576589461703315,0.652173913043478,0.666666666666667,0.731707317073171,0.578947368421053
Group ~ NTF3+uPA,0.598034956985754,0.652173913043478,0.696969696969697,0.75,0.58974358974359
Group ~ NTF3+uPA,0.622269127929607,0.630434782608696,0.696969696969697,0.743589743589744,0.575
Group ~ NTF3+uPA,0.628252453694762,0.630434782608696,0.727272727272727,0.763157894736842,0.585365853658537
Group ~ NTF3+uPA,0.634715833570279,0.608695652173913,0.727272727272727,0.756756756756757,0.571428571428571
Group ~ NTF3+uPA,0.639262411549233,0.586956521739131,0.727272727272727,0.75,0.558139534883721
Group ~ NTF3+uPA,0.64013406110663,0.586956521739131,0.757575757575758,0.771428571428571,0.568181818181818
Group ~ NTF3+uPA,0.648139695067012,0.565217391304348,0.757575757575758,0.764705882352941,0.555555555555556
Group ~ NTF3+uPA,0.659403421521489,0.543478260869565,0.757575757575758,0.757575757575758,0.543478260869565
