Model,Threshold,Sensitivity,Specificity,PositivePredictiveValue,NegativePredictiveValue
Group ~ 1 + age,-Inf,1,0,0.582278481012658,
Group ~ 1 + age,0.569419942965743,0.978260869565217,0,0.576923076923077,0
Group ~ 1 + age,0.570098458968915,0.956521739130435,0,0.571428571428571,0
Group ~ 1 + age,0.570776711720466,0.934782608695652,0,0.565789473684211,0
Group ~ 1 + age,0.572132147128247,0.91304347826087,0,0.56,0
Group ~ 1 + age,0.574163663466634,0.91304347826087,0.0303030303030303,0.567567567567568,0.2
Group ~ 1 + age,0.575516905181738,0.891304347826087,0.0606060606060606,0.569444444444445,0.285714285714286
Group ~ 1 + age,0.576192964289414,0.869565217391304,0.0606060606060606,0.563380281690141,0.25
Group ~ 1 + age,0.577206409373979,0.847826086956522,0.0909090909090909,0.565217391304348,0.3
Group ~ 1 + age,0.578219421399496,0.847826086956522,0.121212121212121,0.573529411764706,0.363636363636364
Group ~ 1 + age,0.578894325690155,0.847826086956522,0.181818181818182,0.590909090909091,0.461538461538462
Group ~ 1 + age,0.57956893528099,0.782608695652174,0.212121212121212,0.580645161290323,0.411764705882353
Group ~ 1 + age,0.58024324778242,0.695652173913044,0.212121212121212,0.551724137931035,0.333333333333333
Group ~ 1 + age,0.58091726080924,0.565217391304348,0.212121212121212,0.5,0.259259259259259
Group ~ 1 + age,0.58159097198066,0.543478260869565,0.212121212121212,0.490196078431373,0.25
Group ~ 1 + age,0.582264378920332,0.5,0.303030303030303,0.5,0.303030303030303
Group ~ 1 + age,0.582937479256382,0.456521739130435,0.545454545454545,0.583333333333333,0.418604651162791
Group ~ 1 + age,0.583610270621447,0.434782608695652,0.696969696969697,0.666666666666667,0.469387755102041
Group ~ 1 + age,0.584282750652699,0.41304347826087,0.818181818181818,0.76,0.5
Group ~ 1 + age,0.584954916991883,0.369565217391304,0.878787878787879,0.80952380952381,0.5
Group ~ 1 + age,0.585626767285346,0.282608695652174,0.939393939393939,0.866666666666667,0.484375
Group ~ 1 + age,0.586298299184066,0.260869565217391,0.96969696969697,0.923076923076923,0.484848484848485
Group ~ 1 + age,0.586969510343687,0.195652173913043,0.96969696969697,0.9,0.463768115942029
Group ~ 1 + age,0.587975598113133,0.152173913043478,0.96969696969697,0.875,0.450704225352113
Group ~ 1 + age,0.588981196014997,0.130434782608696,0.96969696969697,0.857142857142857,0.444444444444444
Group ~ 1 + age,0.589651100869016,0.0869565217391304,0.96969696969697,0.8,0.432432432432432
Group ~ 1 + age,0.590320673333191,0.0434782608695652,1,1,0.428571428571429
Group ~ 1 + age,0.590989911091796,0.0217391304347826,1,1,0.423076923076923
Group ~ 1 + age,Inf,0,1,,0.417721518987342
Group ~ NTF3+IL10 + age,-Inf,1,0,0.582278481012658,
Group ~ NTF3+IL10 + age,0.147906950157714,0.978260869565217,0,0.576923076923077,0
Group ~ NTF3+IL10 + age,0.232059104958956,0.978260869565217,0.0303030303030303,0.584415584415584,0.5
Group ~ NTF3+IL10 + age,0.265874273148762,0.978260869565217,0.0606060606060606,0.592105263157895,0.666666666666667
Group ~ NTF3+IL10 + age,0.286150288571936,0.978260869565217,0.0909090909090909,0.6,0.75
Group ~ NTF3+IL10 + age,0.301465594336631,0.978260869565217,0.121212121212121,0.608108108108108,0.8
Group ~ NTF3+IL10 + age,0.310849728244414,0.978260869565217,0.151515151515152,0.616438356164384,0.833333333333333
Group ~ NTF3+IL10 + age,0.335734615480057,0.978260869565217,0.181818181818182,0.625,0.857142857142857
Group ~ NTF3+IL10 + age,0.35803235349152,0.978260869565217,0.212121212121212,0.633802816901409,0.875
Group ~ NTF3+IL10 + age,0.361143549685358,0.978260869565217,0.242424242424242,0.642857142857143,0.888888888888889
Group ~ NTF3+IL10 + age,0.370408608509794,0.978260869565217,0.272727272727273,0.652173913043478,0.9
Group ~ NTF3+IL10 + age,0.384653476432773,0.956521739130435,0.272727272727273,0.647058823529412,0.818181818181818
Group ~ NTF3+IL10 + age,0.392880799037056,0.934782608695652,0.272727272727273,0.641791044776119,0.75
Group ~ NTF3+IL10 + age,0.409326041248168,0.934782608695652,0.303030303030303,0.651515151515152,0.769230769230769
Group ~ NTF3+IL10 + age,0.429173700304391,0.91304347826087,0.303030303030303,0.646153846153846,0.714285714285714
Group ~ NTF3+IL10 + age,0.435039393974492,0.91304347826087,0.333333333333333,0.65625,0.733333333333333
Group ~ NTF3+IL10 + age,0.455992684025007,0.91304347826087,0.363636363636364,0.666666666666667,0.75
Group ~ NTF3+IL10 + age,0.477606997647711,0.891304347826087,0.363636363636364,0.661290322580645,0.705882352941177
Group ~ NTF3+IL10 + age,0.481597186274919,0.869565217391304,0.363636363636364,0.655737704918033,0.666666666666667
Group ~ NTF3+IL10 + age,0.486135863920923,0.869565217391304,0.393939393939394,0.666666666666667,0.68421052631579
Group ~ NTF3+IL10 + age,0.491733983832188,0.847826086956522,0.393939393939394,0.661016949152542,0.65
Group ~ NTF3+IL10 + age,0.496568928298147,0.826086956521739,0.393939393939394,0.655172413793103,0.619047619047619
Group ~ NTF3+IL10 + age,0.497442293858056,0.826086956521739,0.424242424242424,0.666666666666667,0.636363636363636
Group ~ NTF3+IL10 + age,0.504789413733192,0.804347826086957,0.424242424242424,0.660714285714286,0.608695652173913
Group ~ NTF3+IL10 + age,0.514487857821352,0.804347826086957,0.454545454545455,0.672727272727273,0.625
Group ~ NTF3+IL10 + age,0.517434420018824,0.804347826086957,0.484848484848485,0.685185185185185,0.64
Group ~ NTF3+IL10 + age,0.517750496775955,0.804347826086957,0.515151515151515,0.69811320754717,0.653846153846154
Group ~ NTF3+IL10 + age,0.526089780569641,0.804347826086957,0.545454545454545,0.711538461538462,0.666666666666667
Group ~ NTF3+IL10 + age,0.536376290041909,0.804347826086957,0.575757575757576,0.725490196078431,0.678571428571429
Group ~ NTF3+IL10 + age,0.541724407064815,0.782608695652174,0.575757575757576,0.72,0.655172413793103
Group ~ NTF3+IL10 + age,0.545188725725182,0.760869565217391,0.575757575757576,0.714285714285714,0.633333333333333
Group ~ NTF3+IL10 + age,0.545536235275864,0.760869565217391,0.606060606060606,0.729166666666667,0.645161290322581
Group ~ NTF3+IL10 + age,0.545706187471219,0.760869565217391,0.636363636363636,0.74468085106383,0.65625
Group ~ NTF3+IL10 + age,0.546460851607081,0.739130434782609,0.636363636363636,0.739130434782609,0.636363636363636
Group ~ NTF3+IL10 + age,0.548065658834025,0.717391304347826,0.636363636363636,0.733333333333333,0.617647058823529
Group ~ NTF3+IL10 + age,0.549920278395627,0.717391304347826,0.666666666666667,0.75,0.628571428571429
Group ~ NTF3+IL10 + age,0.552468408093407,0.695652173913044,0.666666666666667,0.744186046511628,0.611111111111111
Group ~ NTF3+IL10 + age,0.554130381898752,0.673913043478261,0.666666666666667,0.738095238095238,0.594594594594595
Group ~ NTF3+IL10 + age,0.560922504073282,0.652173913043478,0.666666666666667,0.731707317073171,0.578947368421053
Group ~ NTF3+IL10 + age,0.574239464141647,0.630434782608696,0.666666666666667,0.725,0.564102564102564
Group ~ NTF3+IL10 + age,0.582582722221109,0.608695652173913,0.666666666666667,0.717948717948718,0.55
Group ~ NTF3+IL10 + age,0.587740184858794,0.608695652173913,0.696969696969697,0.736842105263158,0.560975609756098
Group ~ NTF3+IL10 + age,0.592511727189258,0.586956521739131,0.696969696969697,0.72972972972973,0.547619047619048
Group ~ NTF3+IL10 + age,0.593889059622035,0.565217391304348,0.696969696969697,0.722222222222222,0.534883720930233
Group ~ NTF3+IL10 + age,0.597415785429988,0.543478260869565,0.696969696969697,0.714285714285714,0.522727272727273
Group ~ NTF3+IL10 + age,0.601311998392375,0.543478260869565,0.727272727272727,0.735294117647059,0.533333333333333
Group ~ NTF3+IL10 + age,0.60348439418962,0.521739130434783,0.727272727272727,0.727272727272727,0.521739130434783
Group ~ NTF3+IL10 + age,0.613197292906083,0.521739130434783,0.757575757575758,0.75,0.531914893617021
Group ~ NTF3+IL10 + age,0.625087652370872,0.5,0.757575757575758,0.741935483870968,0.520833333333333
Group ~ NTF3+IL10 + age,0.630852047471711,0.5,0.787878787878788,0.766666666666667,0.530612244897959
Group ~ NTF3+IL10 + age,0.633807168175807,0.5,0.818181818181818,0.793103448275862,0.54
Group ~ NTF3+IL10 + age,0.64011951764922,0.5,0.848484848484848,0.821428571428571,0.549019607843137
Group ~ NTF3+IL10 + age,0.648322354185614,0.478260869565217,0.848484848484848,0.814814814814815,0.538461538461538
Group ~ NTF3+IL10 + age,0.651648790253615,0.478260869565217,0.878787878787879,0.846153846153846,0.547169811320755
Group ~ NTF3+IL10 + age,0.653566649350295,0.478260869565217,0.909090909090909,0.88,0.555555555555556
Group ~ NTF3+IL10 + age,0.66364080341889,0.456521739130435,0.909090909090909,0.875,0.545454545454545
Group ~ NTF3+IL10 + age,0.672729657456119,0.434782608695652,0.909090909090909,0.869565217391304,0.535714285714286
Group ~ NTF3+IL10 + age,0.673715286157841,0.41304347826087,0.909090909090909,0.863636363636364,0.526315789473684
Group ~ NTF3+IL10 + age,0.676331789279214,0.391304347826087,0.909090909090909,0.857142857142857,0.517241379310345
Group ~ NTF3+IL10 + age,0.68516545835786,0.369565217391304,0.909090909090909,0.85,0.508474576271186
Group ~ NTF3+IL10 + age,0.705445629673799,0.347826086956522,0.909090909090909,0.842105263157895,0.5
Group ~ NTF3+IL10 + age,0.719228790971518,0.326086956521739,0.909090909090909,0.833333333333333,0.491803278688525
Group ~ NTF3+IL10 + age,0.725875266069081,0.304347826086957,0.909090909090909,0.823529411764706,0.483870967741936
Group ~ NTF3+IL10 + age,0.73401160457835,0.282608695652174,0.909090909090909,0.8125,0.476190476190476
Group ~ NTF3+IL10 + age,0.742429877197536,0.260869565217391,0.909090909090909,0.8,0.46875
Group ~ NTF3+IL10 + age,0.751055933260013,0.239130434782609,0.909090909090909,0.785714285714286,0.461538461538462
Group ~ NTF3+IL10 + age,0.76277614988528,0.217391304347826,0.909090909090909,0.769230769230769,0.454545454545455
Group ~ NTF3+IL10 + age,0.784115620067271,0.195652173913043,0.909090909090909,0.75,0.447761194029851
Group ~ NTF3+IL10 + age,0.796331386280027,0.173913043478261,0.909090909090909,0.727272727272727,0.441176470588235
Group ~ NTF3+IL10 + age,0.803003276925765,0.152173913043478,0.909090909090909,0.7,0.434782608695652
Group ~ NTF3+IL10 + age,0.810056474546247,0.152173913043478,0.939393939393939,0.777777777777778,0.442857142857143
Group ~ NTF3+IL10 + age,0.811917571496095,0.152173913043478,0.96969696969697,0.875,0.450704225352113
Group ~ NTF3+IL10 + age,0.815100089318751,0.130434782608696,0.96969696969697,0.857142857142857,0.444444444444444
Group ~ NTF3+IL10 + age,0.8332363037881,0.108695652173913,0.96969696969697,0.833333333333333,0.438356164383562
Group ~ NTF3+IL10 + age,0.851260651223157,0.108695652173913,1,1,0.445945945945946
Group ~ NTF3+IL10 + age,0.857132511049724,0.0869565217391304,1,1,0.44
Group ~ NTF3+IL10 + age,0.867208705930553,0.0652173913043478,1,1,0.434210526315789
Group ~ NTF3+IL10 + age,0.909913906868099,0.0434782608695652,1,1,0.428571428571429
Group ~ NTF3+IL10 + age,0.966327773979658,0.0217391304347826,1,1,0.423076923076923
Group ~ NTF3+IL10 + age,Inf,0,1,,0.417721518987342
Group ~ NTF3+IL17C + age,-Inf,1,0,0.582278481012658,
Group ~ NTF3+IL17C + age,0.17770719229365,0.978260869565217,0,0.576923076923077,0
Group ~ NTF3+IL17C + age,0.225927739844139,0.978260869565217,0.0303030303030303,0.584415584415584,0.5
Group ~ NTF3+IL17C + age,0.23801078846306,0.978260869565217,0.0606060606060606,0.592105263157895,0.666666666666667
Group ~ NTF3+IL17C + age,0.246887158989932,0.978260869565217,0.0909090909090909,0.6,0.75
Group ~ NTF3+IL17C + age,0.271054446941332,0.978260869565217,0.121212121212121,0.608108108108108,0.8
Group ~ NTF3+IL17C + age,0.290715056267687,0.978260869565217,0.151515151515152,0.616438356164384,0.833333333333333
Group ~ NTF3+IL17C + age,0.301771419918971,0.978260869565217,0.181818181818182,0.625,0.857142857142857
Group ~ NTF3+IL17C + age,0.3311283392985,0.978260869565217,0.212121212121212,0.633802816901409,0.875
Group ~ NTF3+IL17C + age,0.354005162466424,0.978260869565217,0.242424242424242,0.642857142857143,0.888888888888889
Group ~ NTF3+IL17C + age,0.357601064152862,0.978260869565217,0.272727272727273,0.652173913043478,0.9
Group ~ NTF3+IL17C + age,0.367089130844311,0.978260869565217,0.303030303030303,0.661764705882353,0.909090909090909
Group ~ NTF3+IL17C + age,0.380234172878593,0.956521739130435,0.303030303030303,0.656716417910448,0.833333333333333
Group ~ NTF3+IL17C + age,0.387217110831668,0.956521739130435,0.333333333333333,0.666666666666667,0.846153846153846
Group ~ NTF3+IL17C + age,0.39086979659145,0.956521739130435,0.363636363636364,0.676923076923077,0.857142857142857
Group ~ NTF3+IL17C + age,0.395161589246926,0.956521739130435,0.393939393939394,0.6875,0.866666666666667
Group ~ NTF3+IL17C + age,0.411364181128449,0.934782608695652,0.393939393939394,0.682539682539683,0.8125
Group ~ NTF3+IL17C + age,0.430132608613195,0.934782608695652,0.424242424242424,0.693548387096774,0.823529411764706
